Name	Env	PathLinux	PathMacOS	PathWindows	Description
AliYun		/usr/local/bin/aliyun		C:\aliyun-cli	Alibaba Cloud CLI
AndroidSDK	ANDROID_ROOT	/usr/local/lib/android		C:\Program Files (x86)\Android	Android SDK (1)
AndroidSDK	ANDROID_HOME				Android SDK (2)
AndroidSDK				C:\Android	Android SDK (Windows Extra)
DotNet		/usr/share/dotnet			.Net
HaskellGHC		/opt/ghc			Haskell GHC (1)
HaskellGHC		/usr/local/.ghcup/ghc			Haskell GHC (2)
RunnerBoost		/usr/local/share/boost			GitHub Actions Runner boost
RunnerTool/CodeQL		/opt/hostedtoolcache/CodeQL			GitHub Actions Runner Tool - CodeQL
RunnerTool/GoLang		/opt/hostedtoolcache/go			GitHub Actions Runner Tool - GoLang
RunnerTool/All	AGENT_TOOLSDIRECTORY	/opt/hostedtoolcache			GitHub Actions Runner Tool - All
Swift	SWIFT_PATH	/usr/share/swift			Swift
