Name	Description	Postpone	APT	Chocolatey	Homebrew	NPM	Pipx	WMIC	Env	PathLinux	PathMacOS	PathWindows
AliYun	AliYun (Alibaba Cloud)	0			aliyun-cli					/usr/local/bin/aliyun		C:\aliyun-cli
AndroidNDK	Android NDK	0			android-ndk				ANDROID_HOME, ANDROID_NDK_ROOT, ANDROID_ROOT, ANDROID_SDK_ROOT	/usr/local/lib/android	/Users/runner/.android, /Users/runner/Library/Android	C:\Android, C:\Program Files (x86)\Android
Ansible	Ansible	0			ansible		ansible-core			/opt/pipx_bin/ansible*		
ApacheAnt	Apache Ant	0	ant-optional, ant	ant	ant				ANT_HOME	/usr/share/ant		
ApacheHTTPD	Apache HTTPD	0	^apache2-.*, apache2	apache-httpd	httpd					/usr/lib/apache2, /usr/share/apache2	/usr/local/etc/httpd	C:\tools\Apache*
AWS	AWS (Amazon Web Service)	0		awscli	aws-sam-cli, session-manager-plugin			AWS SAM Command Line Interface		/usr/local/aws-cli, /usr/local/aws-sam-cli, /usr/local/bin/aws		
AzCopy	AzCopy	0		azcopy10	azcopy					/usr/local/bin/azcopy, /usr/local/bin/azcopy10	/Users/runner/.azcopy, /usr/local/bin/azcopy	
Azure	Azure	1	azure-cli		azure-cli			Azure Cosmos DB Emulator, Microsoft Azure Authoring Tools - v2.9.7, Microsoft Azure CLI, Microsoft Azure Compute Emulator - v2.9.7, Microsoft Azure Libraries for .NET - v2.9, Microsoft Azure Service Fabric SDK, Microsoft Azure Service Fabric	AZURE_EXTENSION_DIR	/opt/az, /usr/lib/linux-azure-tools-*, /usr/lib/modules/*-azure, /usr/share/az_*	/Users/runner/.Azure	
Bazel	Bazel	0		bazel	bazel, bazelisk	@bazel/bazelisk				/usr/local/bin/bazel, /usr/local/lib/node_modules/@bazel		
Bicep	Azure Bicep	0		bicep	bicep					/usr/local/bin/bicep	/Users/runner/.net/bicep	
Chromium	Chromium	0			chromium				CHROMIUM_DIR	/usr/bin/chromium-browser, /usr/bin/chromium, /usr/local/share/chromium		
Clang	Clang	0	^clang-.*, ^clang-format-.*, ^clang-tidy-.*, ^lld-.*, ^lldb-.*							/usr/bin/clang*, /usr/bin/lld-*, /usr/bin/lldb-*, /usr/lib/clang, /usr/share/clang		
CodeQL	CodeQL	0			codeql					$Env:AGENT_TOOLSDIRECTORY/CodeQL, /opt/hostedtoolcache/CodeQL	$Env:AGENT_TOOLSDIRECTORY/CodeQL, /Users/runner/hostedtoolcache/CodeQL	$Env:AGENT_TOOLSDIRECTORY\CodeQL
